Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
"Judgment, 2 February 1987",,Annu Rev Popul Law,1987,14,,55-6,,"The plaintiff decided to undergo in vitro fertilization after having two ectopic pregnancies and surgery to remove her fallopian tubes. She requested payment for the in vitro fertilization, but her insurance company refused. On appeal from a cantonal court decision ruling against her, the Federal Insurance Court held that infertility was a medical condition and that an insurance company is required to pay for the treatment of medical conditions. However, it also concluded that in vitro fertilization is not a scientifically recognized treatment for infertility and thus insurance companies are not obligated to pay for it. It based its conclusion on the fact that the procedure is still at a developmental stage, that the success rate is low, and that it entails a risk of other medical complications.","Developed Countries; Economics; Europe; *Fertilization; Financial Management; In Vitro Techniques; *Insurance, Health; *Jurisprudence; Reproduction; Research; Switzerland; Clinical Research; *Court Decision; Economic Factors; *Fertilization--legal aspects; Financial Activities; *Health Insurance--legal aspects; *In Vitro; Research Methodology; Western Europe"
"Ragsdale v. Turnock, 10 March 1988, as amended on 13 April 1988",,Annu Rev Popul Law,1988,15,,44-5,,"The plaintiffs, physicians and women seeking abortions, challenged licensing regulations imposed by the state of Illinois on abortion clinics. The Court found the following requirements to place unconstitutional burdens on a woman's right to obtain an abortion: 1) that separate licenses be obtained for facilities devoted primarily to performing first trimester abortions; 2) that a physician who was to perform an abortion also perform a pregnancy test, even if such a test had already been performed by another physician; 3) that persons undergoing abortions be given counseling which includes a discussion of alternatives, a description of procedures, and an explanation of risks and possible complications; 4) that physicians providing preabortion counseling not be involved financially in the woman's decision; 5) that facilities performing abortions comply with the physical plant and staffing provisions of the Illinois Ambulatory Surgery Treatment Center Act; and 6) ""certificate of need"" proceeding requirements of the Health Facilities Planning Act. In 1988, other US Courts reached the following decisions with respect to the licensing of abortion clinics: 1) a building inspector had violated the right of privacy of women to obtain abortions by classing an outpatient abortion clinic as a hospital, thereby forcing it to obtain a special-use permit to operate in the zone where it was to be sited (P.L.S. Partners, Women's Medical Center of Rhode Island, Inc. vs. City of Cranston, US District Court, D. Rhode Island, 28 June 1988 [696 F.Supp. 788]) and 2) a physician who is prevented from operating an abortion clinic by unconstitutional zoning ordinances can bring a personal civil rights action under federal law for monetary damages, and those who enacted the ordinances are not absolutely immune from liability if the purpose of the ordinances was to single out an individual and treat that individual differently from others (Haskell vs. Washington Township, United States Court of Appeals, Sixth Circuit, 20 December 1988 [864 F.2d 1266]).","*Abortion, Induced; *Ambulatory Care Facilities; Americas; Consumer Product Safety; *Counseling; Delivery of Health Care; Developed Countries; Family Planning Services; Health; Health Facilities; Health Planning; *Jurisprudence; Knowledge; *Legislation as Topic; *Licensure; North America; Organization and Administration; United States; *Abortion Centers--legal aspects; *Abortion Law; *Abortion, Induced--legal aspects; Clinic Activities; *Counseling--legal aspects; *Court Decision; Family Planning; Fertility Control, Postconception; *Licensing; Northern America; Product Approval; Program Activities; Programs"
"Royal Order modifying the Royal Order of 8 October 1981 on access to the territory, residency, establishment, and removal of foreigners, 28 January 1988",,Annu Rev Popul Law,1988,15,,190,,"This Order sets forth procedural and administrative rules with respect to the right of entry and residence of foreigners who present themselves at the border without the required documents claiming to be refugees. It also contains rules on ordering persons to leave Belgium, urgent requests for re-examination of decisions adverse to foreigners, and legal recourse after an adverse decision. Its major substantive provisions are as follows: 1) persons presenting themselves at the Belgian border without the required documents and claiming to be refugees are authorized to enter and reside in Belgium until a decision has been made on their request for refugee status if they are not refused entry; 2) such persons who are not admitted into Belgium are to be turned back to the country from which they came by border authorities; and 3) urgent requests to re-examine decisions and court appeals operate to suspend the turning back of foreigners and orders to leave Belgium made against those already admitted. The Order is issued in light of the changes made in immigration law by the Act of 14 July 1987 (see Annual Review of Population Law Vol. 14, 1987, Section 810).",Belgium; Demography; Developed Countries; *Emigration and Immigration; Ethnicity; Europe; Knowledge; *Legislation as Topic; Licensure; *Organization and Administration; Population; Population Characteristics; Population Dynamics; *Records; *Refugees; Transients and Migrants; *Border Crossing--legal aspects; Demographic Factors; *Foreigners--legal aspects; International Migration; *Legislation; Migrants; Migration; Nationality; Permits; *Refugees--legal aspects; *Travel Documents--legal aspects; Western Europe
"Dohn v. Lovell, 3 June 1988",,Annu Rev Popul Law,1988,15,,25,,"The Court held that language in the Georgia Voluntary Sterilization Act requiring ""a full and reasonable medical explanation"" to be given to a person wishing to be sterilized ""as to the meaning and consequences"" of the operation necessarily requires that the explanation be given as to the method to be employed. It rejected the argument of physicians in a medical malpractice suit that they needed to give an explanation only of the intended results of sterilization and that they could not be sued for medical malpractice unless they had been negligent in performing the actual sterilization.","Ambulatory Care Facilities; Americas; *Counseling; Developed Countries; Family Planning Services; Georgia; Health Planning; *Informed Consent; *Jurisprudence; *Methods; North America; Organization and Administration; *Sterilization, Reproductive; United States; Clinic Activities; *Counseling--legal aspects; *Court Decision; Family Planning; *Informed Consent--legal aspects; *Medical Liability; Northern America; *Procedures; Program Activities; Programs; *Sterilization, Sexual--legal aspects"
"Judgment, 26 October 1988",,Annu Rev Popul Law,1988,15,,38-9,,The Court held that provisions of a law enacted by the canton Zug restricting access to abortion were invalid because they were in conflict with federal law provisions relating to abortion. The law in question required 1) that abortions could be performed only by specialists in gynecology and obstetrics; 2) that they be approved by a committee of experts; and 3) that authorization for abortions be given only to women who are residents of Zug.,"*Abortion, Induced; Developed Countries; Europe; Family Planning Services; *Health Services Accessibility; *Jurisprudence; *Legislation as Topic; Organization and Administration; Program Evaluation; Switzerland; *Abortion Law; *Abortion, Induced--legal aspects; *Court Decision; Family Planning; Fertility Control, Postconception; *Program Accessibility--legal aspects; Programs; Western Europe"
"Judgment, 7 July 1987",,Annu Rev Popul Law,1988,15,,32,,"The plaintiff was a pregnant woman just under the age of 36 who consulted her physician on having an amniocentesis performed because of her age. Her physician advised her against this, emphasizing the danger to the fetus and the fact that she had just had a healthy child and that her present pregnancy was progressing well. When the plaintiff subsequently gave birth to a child suffering from Down's syndrome, she sued the physician for maintenance of the child claiming that she would have had an abortion had she known that the child was defective. The Federal Court of the Federal Republic of Germany reversed the decision of the lower court and dismissed her claim. It held that she had not proved that she had been inadequately counselled by the defendant since he had counselled her about the dangers of Down's syndrome during her previous pregnancy sufficiently for her to have obtained a second opinion about having the amniocentesis performed and since it was standard practice not to perform an amniocentesis on women who were under the age of 36.","*Abortion, Induced; Ambulatory Care Facilities; *Amniocentesis; Clinical Laboratory Techniques; *Congenital Abnormalities; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; *Counseling; Developed Countries; Diagnosis; Disease; Europe; Family Planning Services; Genetic Techniques; Germany, West; Health Planning; *Jurisprudence; Organization and Administration; Clinic Activities; *Counseling--legal aspects; *Court Decision; Diseases; Examinations And Diagnoses; Family Planning; Fertility Control, Postconception; Genetic Technics; *Germany, Federal Republic Of; Laboratory Examinations And Diagnoses; *Medical Liability; Neonatal Diseases And Abnormalities; Program Activities; Programs; Western Europe"
"Attorney General (Society for the Protection of Unborn Children Ltd.) v. Open Door Counselling Ltd., 16 March 1988",,Annu Rev Popul Law,1988,15,,34-5,,"The defendants were clinics providing pregnancy counselling, including information about the availability of abortion in England. The Attorney General took over prosecution of the suit from the Society for the Protection of Unborn Children, which sought an injunction to prevent the defendants from providing counseling. The Supreme Court affirmed a lower court ruling granting the injunction and held that the defendants' activities violated Article 40.3.3 of the Irish Constitution, which guarantees that the State will respect, defend, and vindicate the rights of the unborn as far as is practicable. It concluded that the defendants were assisting in the ultimate destruction of life through abortion, that there was no constitutional right to information about abortion (that would be in conflict with Article 40.3.3), and that the Attorney General had standing to bring the proceedings, even though there was no particular pregnant woman represented who might be affected by the injunction. The ruling of the lower court was reported in Annual Review of Population Law, Vol. 14, 1987, Section 240. On 7 September 1988, a judge of the High Court refused to issue an injunction directed against printing, publishing, and distributing a welfare guide providing information about the availability of abortions. The judge ruled that the Attorney General was the proper person to make an application for such an injunction, not the plaintiffs, the Society for the Protection of Unborn Children. See Irish Law Reports Monthly, 1989, p. 526. This judgment was reversed in 1989 by the Supreme Court.","*Abortion, Illegal; *Abortion, Induced; Ambulatory Care Facilities; *Communication; *Constitution and Bylaws; *Counseling; Developed Countries; Europe; Family Planning Services; *Fetus; Health Planning; Ireland; *Jurisprudence; Organization and Administration; Pregnancy; *Public Policy; Reproduction; *Abortion, Induced--legal aspects; Clinic Activities; Communication; *Constitution; *Counseling--legal aspects; *Court Decision; Family Planning; Fertility Control, Postconception; *Information Distribution--legal aspects; Northern Europe; Program Activities; Programs; *Social Protection"
"Planned Parenthood Federation of America v. Bowen, 25 February 1988",,Annu Rev Popul Law,1988,15,,44,,"The plaintiffs were family planning (FP) services and physicians who sought a preliminary injunction against enforcement of regulations promulgated by the Secretary of Health and Human Services of the US. The regulations prohibited counseling and referral for abortion services by FP services that receive funds under Title X of the Public Health Services Act. The Court held that the regulations exceeded the Secretary's authority, since nothing in Title X or legislative history relating to its enactment indicated that Congress intended to prohibit FP services from offering information with respect to abortions. The Court also ruled that the regulations violated a woman's Fifth Amendment liberty interest in choosing to have an abortion, her First Amendment right to receive necessary information to exercise her liberty interest, and a physician's First Amendment right to disseminate necessary information to patients. The Court granted the request for a preliminary injunction. On 15 June 1988, the same court granted the plaintiffs' request for a permanent injunction against enforcement of the regulations. On 3 March 1988, the US District Court, D. Massachusetts, also enjoined enforcement of the regulations (Commonwealth of Massachusetts vs. Bowen [679 F.Supp. 137]). On 30 June 1988, however, the US District Court, S.D. New York, rejected a challenge to the regulations, ruling that the Secretary did not exceed his authority and that the regulations were not unconstitutional (State of New York vs. Bowen [690 F.Supp. 1261]).","*Abortion, Induced; Ambulatory Care Facilities; Americas; *Communication; *Counseling; Developed Countries; Economics; Family Planning Services; Financial Management; *Financing, Government; Health Planning; *Jurisprudence; North America; Organization and Administration; *Public Assistance; United States; *Abortion, Induced--legal aspects; Clinic Activities; Communication; *Counseling--legal aspects; *Court Decision; Economic Factors; Family Planning; Fertility Control, Postconception; Financial Activities; *Financing, Government--legal aspects; *Information Distribution--legal aspects; Northern America; Program Activities; Programs; *Public Assistance--legal aspects"
"R. v. Morgentaler, 28 January 1988",,Annu Rev Popul Law,1988,15,,28-9,,"The appellants, physicians who had set up a clinic to perform abortions, were charged with conspiracy with intent to commit abortions contrary to Section 251(4) of the Canadian Criminal Code. Section 251(4) prohibits abortions being performed upon women who have not obtained a certificate from a therapeutic abortion committee of an accredited or approved hospital. On appeal of a lower court decision ordering a new trial for the appellants after a jury had acquitted them, the Supreme Court held (two justices dissenting) that conditioning the performance of an abortion upon certification by an abortion committee violated the right of security of the person contained in Section 7 of the Canadian Charter of Rights and Freedoms. The five justices in the majority wrote three separate opinions which pointed out, variously, that Section 251 imposed unnecessary procedures and restrictions, restricted access to hospitals, caused delays, resulted in physical, psychological and emotional risk to the woman, and forced some women to carry a fetus to term against their will.","Abortion, Induced; *Ambulatory Care Facilities; Americas; Canada; Delivery of Health Care; Developed Countries; Family Planning Services; Health; Health Facilities; *Health Services Accessibility; *Jurisprudence; *Legislation as Topic; North America; Organization and Administration; Program Evaluation; *Abortion Centers--legal aspects; *Abortion Law; *Court Decision; Family Planning; Fertility Control, Postconception; Northern America; *Program Accessibility; Programs"
"Mother and Unborn Baby Care v. State, 11 May 1988",,Annu Rev Popul Law,1988,15,,51,,"The State charged the defendant antiabortion organization with violation of the Texas Deceptive Trade Practices Act in advertising under abortion groups in the yellow pages. The Court upheld a lower court decision enjoining deceptive conduct, mandating certain disclosures, and assessing penalties. It rejected the defendant's argument that it was not involved in trade or commerce and, thus, was not subject to the Act. As support for its decision, the Court pointed to the defendant's advertising in the yellow pages and provision of pregnancy testing, counseling, financial assistance, aid in adoption procedures, and help in obtaining legal aid.","*Abortion, Induced; *Adoption; *Advertising; Ambulatory Care Facilities; Americas; Behavior; Child Rearing; Clinical Laboratory Techniques; Communication; *Counseling; Developed Countries; Diagnosis; Economics; *Financial Management; Health Planning; *Jurisprudence; Marketing of Health Services; *Mass Media; North America; Organization and Administration; Politics; *Pregnancy Tests; Public Opinion; Texas; United States; *Anti-abortion Groups; Clinic Activities; *Court Decision; Economic Factors; Examinations And Diagnoses; *Financial Activities; Interest Groups; Laboratory Examinations And Diagnoses; Laboratory Procedures; Marketing; Northern America; Political Factors; Program Activities; Programs; *Promotion--legal aspects"
