Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
Management of orbital blowout fractures: the prognostic significance of computed tomography,"Gilbard, S. M.",Adv Ophthalmic Plast Reconstr Surg,1987,6,,269-80,,Computed tomography (CT) can be used to aid surgical decision making when the clinical picture is unclear. Patients with blowout fractures and a large amount of orbital expansion and soft tissue herniation have a high risk for developing enophthalmos. Patients with entrapped inferior rectus muscles on CT may continue to have significant diplopia unless they are treated surgically.,"Adult; Diplopia/etiology; Female; Humans; Hypesthesia/etiology; Male; Orbital Fractures/complications/*diagnostic imaging/surgery; Prognosis; Skull Fractures/*diagnostic imaging; *Tomography, X-Ray Computed"
Changes in surgical team performance and safety climate attitudes following expansion of perioperative services: a repeated-measures study,"Gillespie, B. M.; Harbeck, E.; Kang, E.; Steel, C.; Fairweather, N.; Chaboyer, W.",Aust Health Rev,2018,42,6,703-708,10.1071/ah17079,"Objective The aim of the present study was to describe process changes in surgical team performance and team members' attitudes to safety culture following hospital relocation and expansion of perioperative services. Methods The study was a naturalistic study using structured observations and surveys to assess non-technical skills (NTS; i.e. communication, teamwork, situational awareness, decision making and leadership) in surgery. This interrupted time series design used mixed-linear regression models to examine the effect of phase (before and after hospital relocation) on surgical teams' NTS and their processes that may affect performance. Differences in self-reported teamwork and safety climate attitudes were also examined. Results In all, 186 procedures (100 before and 81 after hospital relocation) were observed across teams working in general, paediatric, orthopaedic and thoracic surgeries. Interobserver agreement ranged from 86% to 95%. An effect of phase was found, indicating that there were significant improvements after relocation in the use of NTS by the teams observed (P=0.020; 95% confidence interval 1.9-4.7). Conclusions The improvements seen in surgical teams' NTS performance and safety culture attitudes may be related to the move to a new state-of-the-art perioperative department. What is known about the topic? Patient safety in surgery relies on optimal team performance, underpinned by effective NTS. What does this paper add? The NTS of surgical teams may be improved through ergonomic innovations that promote teams' shared mental models. What are the implications for practitioners? Effective multidisciplinary teamwork relies on a combination of NTS and ergonomic factors, which inherently contribute to team performance and safety climate attitudes.","*Attitude of Health Personnel; Humans; *Organizational Culture; *Patient Care Team/organization & administration/standards; *Patient Safety; *Perioperative Care/methods/standards; *Surgical Procedures, Operative/methods/standards; Surveys and Questionnaires"
American Indians and non-Indians playing a slot-machine simulation: Effect of sensation seeking and payback percentage,"Gillis, A.; McDonald, J. D.; Weatherly, J. N.",American Indian and Alaska Native Mental Health Research,2008,15,1,18-32,,"The research literature on gambling behavior indicates that American Indians (AIs) suffer from pathological gambling at a greater rate than the majority population. The literature also suggests that dispositional factors, such as sensation seeking, can influence gambling. However, situational factors, such as the payback percentage of a slot machine, may not. The present study recruited 12 AI and 12 non-AI participants to play a simulated slot machine in three different sessions. Half of the participants in each group were high sensation seekers. The other half were low sensation seekiers. Across the three gambling sessions, the simulation was programmed to pay back at a rate of 85, 95, or 105%. Results showed non-significant differences in gambling behavior between AIs and non-AIs and between high and low sensation seekers. Participants were, however, sensitive to percentage payback, playing more trials and betting more credits when the percentage was 105% than when it was 85 or 95%. The present results question whether ethnicity or certain personality characteristics, in and of themselves, are predictive of differences in individuals' gambling behavior. Results also suggest that people's gambling behavior is sensitive to winning and losing, but not to losing and losing even more. Implications for the study of gambling are discussed.",Psychology
SIMULATION OF DECISION-MAKING BEHAVIOR IN A PROCESS PRODUCTION PLANT,"Gilmour, P.; Lawrance, I. M.",International Journal of Production Research,1977,15,4,351-364,10.1080/00207547708943135,,Engineering; Operations Research & Management Science
"Patient Portal, Patient-Generated Images, and Medical Decision-Making in a Pediatric Ambulatory Setting","Ginting, K.; Stolfi, A.; Wright, J.; Omoloja, A.",Appl Clin Inform,2020,11,5,764-768,10.1055/s-0040-1718754,"BACKGROUND: Electronic health record (EHR) patient portals are a secure electronic method of communicating with health care providers. In addition to sending secure messages, images, and videos generated by families can be sent to providers securely. With the widespread use of smart phones, there has been an increase in patient-generated images (PGI) sent to providers via patient portals. There are few studies that have evaluated the role of PGI in medical decision-making. OBJECTIVES: The study aimed to characterize PGI sent to providers via a patient portal, determine how often PGI-affected medical decision-making, and determine the rate of social PGI sent via patient portal. METHODS: A retrospective chart review of PGI uploaded to a children's hospital's ambulatory patient portal from January 2011 to December 2017 was conducted. Data collected included patient demographics, number and type of images sent, person sending images (patient or parent/guardian), and whether an image-affected medical decision-making. Images were classified as medical related (e.g., blood glucose readings and skin rashes), nonmedical or administrative related (e.g., medical clearance or insurance forms), and social (e.g., self-portraits and camp pictures). RESULTS: One hundred forty-three individuals used the portal a total of 358 times, sending 507 images over the study period. Mean (standard deviation) patient age was 9.5 (5.9) years, 50% were females, 89% were White, and 64% had private insurance. About 9% of images were sent directly by patients and the rest by parents/guardians. A total of 387 (76%) images were sent for medical related reasons, 20% for nonmedical, and 4% were deemed social images. Of the 387 medical related images, 314 (81%) affected medical decision-making. CONCLUSION: PGI-affected medical decision-making in most cases. Additional studies are needed to characterize use of PGI in the pediatric population.",Child; Clinical Decision-Making; Electronic Health Records; Female; Humans; Parents; *Patient Portals; Retrospective Studies
Assessment of wind power predictability as a decision factor in the investment phase of wind farms,"Girard, R.; Laquaine, K.; Kariniotakis, G.",Applied Energy,2013,101,,609-617,10.1016/j.apenergy.2012.06.064,"The ability to predict wind power production over the next few hours to days is prerequisites for the secure and economic operation of power systems with high wind power penetration. From the point of view of a producer participating in the day-ahead electricity market, lack of predictability at a wind power production site results in imbalance costs. This paper aims at quantifying the impact on market revenue of, respectively, the predictability and the capacity factor of a wind farm or a cluster of wind farms. This is done through a real-life case study in West Denmark, including wind farm production data and market data. Finally, we make a prospective analysis under the assumption that the imbalance price settlement mechanism will remain the same. (C) 2012 Elsevier Ltd. All rights reserved.",Wind power resource assessment; Wind power predictability; Market; design; Planning policy; Sensitivity analysis; Investment problem; energy; Energy & Fuels; Engineering
Resilient strategies for managing supply and facility disruptions in a biomass supply chain,"Gital, Y.; Bilgen, B.",Applied Energy,2024,372,,17,10.1016/j.apenergy.2024.123808,"Environmental concerns and the need for renewable resources in energy production increase the interest of researchers in the subject of the biomass supply chain. The widespread use of biomass requires the need for design and optimization of the biomass supply chain network for real-life conditions. The complex and largescale nature of the biomass supply chain leads to the existence of uncertainties that introduce several disruptions. Ignoring disruptions in the decision-making process makes the network design sensitive and vulnerable. The concept of resilient network design gives the biomass supply chain the ability to quickly adapt under changing conditions and maintain flow in cases of disruption. This study aims to develop a resilient biogas supply chain network design considering disruptive risks. A scenario-based mixed-integer linear programming model is developed under disruptions. Against both supply disruptions and facility disruptions, three resilience strategies are implemented: (1) multi-sourcing, (2) coverage distance, and (3) backup assignment strategy. To analyze and validate the effects of each proposed resilience strategy, comparative analyses are conducted considering several cases with different assumptions. For comparative analyses, the developed scenario-based optimization model is applied in the form of different model adjustments that incorporate the proposed resilience strategies. The applicability of the proposed resilience strategies is validated by analyzing their impact on the network structure, efficiency, production outputs, and economic performance of the supply chain. The impact of resilience strategies is reported and analyzed to make better inferences and contribute to managerial insights. Comparative results highlight that resilience strategies lead to improvement in different performance measures of the supply chain.",Resiliency; Biomass supply chain; Resilient supply chain; Disruption; Network design; Scenario-based optimization; network design; risk-management; optimization; robust; model; uncertainty; bioenergy; sustainability; challenges; operations; Energy & Fuels; Engineering
Modelling Variable Cost of Tractors: A Case Study of Ten Tractor Models in Juba of South Sudan,"Gitau, A. N.; Wilba, S. N.; Mbuge, D. O.; Mwangi, S. T.",Ama-Agricultural Mechanization in Asia Africa and Latin America,2018,49,2,104-+,,"Variable costs contrary to fixed costs increase with machine age. In addition, most of the decisions made by a farm power manager to replace a farm machinery are made based on the variable cost records. Thus, modelling variable costs of a farm tractor is very important because it will enable the farm manager to know the yearly cost of crop production and accumulated costs for operating a tractor, therefore, to make a decision on whether it is profitable to continue operating the machinery or it is better to sell it and replace it with another one. This study was carried out in Jubek State of South Sudan by use of questionnaires for collecting operation costs data of ten tractor models of tractors which are MF375, Belarus800, JD5503, MF385, JD5510, JD5425, Mahindra8000, Mahindra705DI, Sonalika DI-90, and Sonalika DI-75. Data collected was sought on tractor characteristics and economic costs such as use of tractor each year, fuel consumption cost, lubrication oil cost, oil and fuel filters replacement cost, labour cost and workmanship cost. Result showed that the cost of tractor repair and maintenance for all tractors studied had the highest percentage share from the total percentage cost followed by cost of fuel, labour (operator) cost, and then cost of lubrication oil. From the results, it was found that power model gave better cost prediction with higher confidence and less variation than other models. The derived models indicated that the accumulated variable costs as percentage of initial purchase price (List Price) increased as the accumulated hours of use increased for the ten tractor models studied.",South Sudan; Modelling; Tractors; Variable Cost; india; Agriculture
The causation-prevention chain in infrastructure safety measures: A consideration of four types of policy lock-ins,"Gitelman, V.; Kaplan, S.; Hakkert, S.",Accident Analysis and Prevention,2024,195,,,10.1016/j.aap.2023.107399,"Safety policies typically follow Lasswell's linear decision cycle paradigm: diagnostics, prescription, application, monitoring, and appraisal. Contemporary policy research highlights the existence of complexities in policy-making, which trigger policy lock-ins. We consider four cases in which the complex nature of the causation-prevention discourse leads to decision-making lock-ins, which deter safety progress. The four cases are conflicting narratives, missing causation inferences, prevention and mobility mismatch, and a tension between policy transfer and existing policy environments. The cases are demonstrated on recent examples of infrastructure measures that were observed in Israeli practice, which are, respectively: adding a motorway illumination, setting bus priority routes, safety improvements of multi-lane urban roads, and establishing traffic calming areas. While the four case-studies are region-specific, the discussion is relevant to other road safety measures and countries with similar policy-making problems. The consideration highlights the importance of policy-making dynamics to increase the resilience of the Safe System approach. © 2023","Causation-prevention discourse; Decision-making lock-ins; Road infrastructure; Safe System approach; Safety policy; Accidents, Traffic; Humans; Policy; Safety; Locks (fasteners); Motor transportation; Roads and streets; Safety engineering; Decisions makings; Policy making; Road infrastructures; SAFER system; Safety measures; Safety policies; Systems approach; human; prevention and control; traffic accident; Decision making"
Modeling the behavior of water reservoir operators via eigenbehavior analysis,"Giuliani, M.; Herman, J. D.",Advances in Water Resources,2018,122,,228-237,10.1016/j.advwatres.2018.10.021,"The large number of dammed rivers worldwide emphasizes the need to couple models of natural processes with models describing human behaviors. However, such behavioral models are often simplistic and lack proper validation against observational data. In this work, we contribute a new approach to infer the typical operations of water reservoirs from historical observations, using data-driven behavioral modeling based on eigenbehavior analysis. The approach is demonstrated using monthly storage data from 172 reservoirs in California, USA. Results show that the proposed method identifies four typical behavioral profiles, which are strongly linked to key features of the reservoirs. Moreover, we show how the identified models can be used for discovering behavioral profiles, and associated reservoir characteristics, that are vulnerable to drought conditions. © 2018 Elsevier Ltd",Behavioral modeling; Data-driven modeling; Data-mining; Drought management; Water reservoir operations; California; United States; Behavioral research; Data mining; Digital storage; Drought; Reservoir management; Behavioral model; Behavioral profiles; Data-driven model; Drought conditions; Historical observation; Reservoir characteristic; Reservoir operation; modeling; reservoir; water management; Reservoirs (water)
Prevalence of chronic disease risk and protective behaviors among American Indian women living on the Hopi reservation,"Giuliano, A.; Papenfuss, M.; De Zapien, J. G.; Tilousi, S.; Nuvayestewa, L.",Annals of Epidemiology,1998,8,3,160-167,10.1016/s1047-2797(97)00200-7,"PURPOSE: There is a growing need for disease risk factor data for various chronic diseases among American Indian (AI) populations. The purpose of this study was to determine the prevalence of disease risk and protective behaviors among AI women living on the Hopi reservation. METHODS: 559 randomly selected AI women 18-89 years of age completed an interviewer-administered questionnaire which included questions on smoking, alcohol consumption, weight, height, and self-identified practices to keep healthy. RESULTS: The proportions of smoking and alcohol consumption were low with only 5.4% women reported currently smoking and 23.1% reported consuming any alcohol. Both these risk factors significantly decreased with age and significantly increased with higher education. The proportions who were overweight (body mass index (BMI) 27.3-32.2) and obese (BMI greater than or equal to 32.3) were 36.2% and 27.0%, respectively, and were highest in the ages 25-64 years. Over 80% of women reported practicing behaviors to keep healthy. Significantly higher proportions of older women reported practicing behaviors to keep healthy compared with younger women. CONCLUSIONS: To develop and evaluate programs aimed at decreasing rates of chronic diseases among AI populations a disease risk factor surveillance system needs to be implemented by region and tribe. (C) 1998 Elsevier Science Inc.","American Indian; health behaviors; disease risk factors; alaska natives; obesity; abuse; Public, Environmental & Occupational Health"
Blood analysis at the point of care: issues in application for use in critically ill patients,"Giuliano, K. K.; Grant, M. E.",AACN Clin Issues,2002,13,2,204-20,10.1097/00044067-200205000-00006,"Major changes in the healthcare environment have increasingly forced hospitals to reconsider their operative structures to maintain cost competitiveness. These changes have included restructuring and numerous hospital mergers, and they have forced hospitals to examine ways to improve operational efficiency. Nowhere in the hospital is this truer than in the critical care areas, where costs are highest, and one of the places where process improvements can be made is in the laboratory analysis. Data indicate that laboratory analysis comprises about 43% of the data used by critical care clinicians to make clinical decisions. The more quickly these data can be provided to the clinicians, the more likely they are to have an impact on the patient's care.Point-of-care testing (POCT) in critical care is one way of simplifying the laboratory analysis process so that laboratory data are more readily available to clinicians. A close collaborative relationship with the clinical laboratory can allow a robust POCT to be implemented in critical care that meets the needs of both the clinical laboratory and the critical care areas. When implemented appropriately, a POCT program in critical care can provide rapid and accurate test results, can be fairly simple to maintain, and can be cost effective. However, successful implementation requires a new set of skills for critical care nurses including knowledge of the laboratory regulatory issues, a commitment to training, recertification, and a quality improvement program related specifically to POCT. Several studies have shown that laboratory turnaround time can be reduced through the implementation of a POCT program. However, at this writing, no studies have linked this decrease in turnaround time to improved patient outcomes, although there are some data to support a decrease in iatrogenic blood loss with the use of POCT. Although the use of POCT in critical care has some distinct benefits, clearly, outcome studies need to be conducted to assess the true impact of POCT on the care of patients who are critically ill.","Clinical Competence; Critical Care/economics/*standards; Economic Competition; Hematologic Tests/economics/*methods/trends; *Hospital Costs; Humans; Intensive Care Units/*economics; Interdepartmental Relations; Laboratories, Hospital/*organization & administration; Nursing Staff, Hospital/standards; Point-of-Care Systems/economics/*standards; Time Factors; Treatment Outcome; United States"
Perspective on BVDV control programs,"Givens, M. D.; Newcomer, B. W.",Anim Health Res Rev,2015,16,1,78-82,10.1017/s1466252315000043,"Programs for control and eradication of bovine viral diarrhea virus (BVDV) are often considered prudent when the expense of a control program within a specified time frame effectively prevents loss due to disease and the expense of control does not exceed the costs associated with infection. In some geographic areas, concerns about animal welfare or desires to reduce antibiotic usage may motivate BVDV control even when control programs are associated with a lack of financial return on investment. In other geographic areas, concerns about financial return on investment may be the key motivating factor in considering implementation of BVDV control programs. Past experiences indicate that systematic, well-coordinated control programs have a clear potential for success, while voluntary control programs in cultures of distributed decision-making often result in notable initial progress that ultimately ends in dissolution of efforts. Segmentation of the cattle industry into cow-calf producers, stocker/backgrounders, and feedlot operators amplifies the distribution of decision-making regarding control programs and may result in control measures for one industry segment that are associated with significant costs and limited rewards. Though the host range of BVDV extends well beyond cattle, multiple eradication programs that focus only on testing and removal of persistently infected (PI) cattle have proven to be effective in various countries. While some individuals consider education of producers to be sufficient to stimulate eradication of BVDV, research surrounding the adoption of innovative health care procedures suggests that the process of adopting BVDV control programs has a social element. Collegial interactions and discussions may be crucial in facilitating the systematic implementation necessary to optimize the long-term success of control programs. Compulsory control programs may be considered efficient and effective in some regions; however, in a nation where individual identification of cattle remains voluntary, the likelihood of effective compulsion to control BVDV within a farm or ranch appears to be very unlikely. While currently available diagnostic tests are sufficient to support BVDV eradication via systematic, well-coordinated programs, the development of a diagnostic procedure to safely and consistently detect the gestation of a PI fetus after 5 months of gestation would be a valuable research breakthrough. This desired testing modality would allow diagnosis of PI calves, while the dam continues to provide biocontainment of the infected fetus. This development could speed the progress of control programs in achieving the goal of BVDV control and eventual eradication.","Animals; Bovine Virus Diarrhea-Mucosal Disease/*prevention & control; Cattle; Communicable Disease Control/economics/*organization & administration; Diarrhea Viruses, Bovine Viral/isolation & purification; Mass Screening/veterinary; United States; Bovine viral diarrhea virus; disease control; epidemiology; pestivirus"
Nexus-e: A platform of interfaced high-resolution models for energy-economic assessments of future electricity systems,"Gjorgiev, B.; Garrison, J. B.; Han, X. J.; Landis, F.; van Nieuwkoop, R.; Raycheva, E.; Schwarz, M.; Yan, X. Q.; Demiray, T.; Hug, G.; Sansavini, G.; Schaffner, C.",Applied Energy,2022,307,,27,10.1016/j.apenergy.2021.118193,"Energy systems are transitioning toward sustainable power generation largely due to new policies that are motivated by climate and renewable generation targets. This transition is felt throughout the entire economy and is affecting the long and short term operations of the energy system. In the last decade, the research community has made significant efforts to model the energy transition and its impacts. Typically, these models focus on a limited subset of the different components of the energy-economic system, including investments in centralized and distributed generation, electricity markets, electric power grids, security of supply, and macro-economic effects. However, there are research questions that require the analysis of how these different aspects are connected to each other and how they may interact. Therefore, the research community has stressed the need to leverage models across domains to enhance the capabilities and robustness of their results. Due partly to the high complexity of combining models developed in tangential domains, few attempts have been made to model in full the interactions among the interdependent components of the energy-economic system.",Energy system modeling; Centralized generation; Distributed generation; Electricity markets; Macro-economy; System security; soft-linking; top-down; integrated assessment; transition; framework; pathways; Energy & Fuels; Engineering
Assessing the value of information in residential building simulation: Comparing simulated and actual building loads at the circuit level,"Glasgo, B.; Hendrickson, C.; Azevedo, I. L.",Applied Energy,2017,203,,348-363,10.1016/j.apenergy.2017.05.164,"Building energy simulation tools are now being used in a number of new roles such as building operation optimization, performance verification for efficiency programs, and - recently- building energy code analysis, design, and compliance verification in the residential sector. But increasing numbers of studies show major differences between the results of these simulations and the actual measured performance of the buildings they are intended to model. The accuracy and calibration of building simulations have been studied extensively in the commercial sector, but these new applications have created a need to better understand the performance of home energy simulations. In this paper, we assess the ability of the DOE's EnergyPlus software to simulate the energy consumption of 106 homes using audit records, homeowner survey records, and occupancy estimates taken from monitored data. We compare the results of these simulations to device-level monitored data from the actual homes to provide a first measure of the accuracy of the EnergyPlus condensing unit, central air supply fan, and other energy consumption model estimates in a large number of homes. We then conduct sensitivity analysis to observe which physical and behavioral characteristics of the homes and homeowners most influence the accuracy of the modeling. Results show that EnergyPlus models do not accurately or consistently estimate occupied whole-home energy consumption. While some models accurately predict annual energy consumption to within 1% of measured data, none of the modeled homes meet ASHRAE criteria for a calibrated model when looking at hourly interval data. The majority of this error is due to appliance and lighting energy overestimates, followed by AC condensing unit use. These inaccuracies are due to factors such as occupant behaviors and differences in appliance and lighting stocks which are not well-captured in traditional energy audit reports. We identify a number of factors which must be specified for an accurate model, and others where using a default value will produce a similar result. The use of building simulation tools reflects a shift from a component-focused approach to a systems approach to residential code analysis and compliance verification that will serve to better identify and deploy efficiency measures in homes. By better understanding the limitations of home energy simulations and adopting strategies to mitigate the effects of model errors, simulation models can serve as valuable decision making tools in the residential sector. (C) 2017 The Authors. Published by Elsevier",EnergyPlus; Residential; Simulation; Energy code; energy simulation; model calibration; Energy & Fuels; Engineering
Simulating a residential building stock to support regional efficiency policy,"Glasgo, B.; Khan, N.; Azevedo, I. L.",Applied Energy,2020,261,,9,10.1016/j.apenergy.2019.114223,"Building simulation tools are seeing growing use in the residential sector due to a combination of increased interest in building energy performance, more user-friendly software packages, and decreasing computing power requirements. These tools are now being applied in batch simulations, where large numbers of homes are simulated at once to understand existing building stock energy consumption and potential energy efficiency improvements to make to those stocks. As these types of applications grow, attention is needed to ensure that simulation inputs and outputs are handled with an appropriate understanding of the uncertainties involved. In this paper, we use a batch simulation tool to translate energy audit records of 296 existing single-family homes in Pennsylvania into EnergyPlus building simulation models. We compare the results of these simulations to actual metered electricity use data from these homes, representative device-level data, and local utility data to better understand the abilities and limits of such modeling practices. Results show that while batch simulations are capable of producing accurate estimates of the energy consumption of a large number of homes, many more homes had their energy consumption overestimated than underestimated, resulting in a significant net overestimate for the sample as a whole. When results are scaled up to the utility level, simulation accuracy varies by utility with net overestimates ranging from around 15% to 25%. Comparisons of individual simulation results to metered consumption identify electric space heating systems as the source of much of this error. This highlights the importance of gathering accurate, detailed information on these systems to generate reliable simulation results. NREL has recently released a batch simulation tool called ResStock that takes a more statistically robust approach to simulating representative archetype homes as opposed to actual existing homes. The results of this study suggest that the type of probabilistic treatment of building characteristics underlying that tool will provide more meaningful results than trying to simulate actual buildings. With additional validation measures similar to those used in this study, ResStock can likely be used to reliably estimate baseline energy consumption and quantify efficiency savings opportunities and can serve as a valuable decision-making tool for state, local, and utility efficiency program designers.",Residential; Buildings; Energy; Simulation; Efficiency; Policy; energy simulation; model calibration; Energy & Fuels; Engineering
The value of enhanced flexibility of gas-fired power plants: A real options analysis,"Glensk, B.; Madlener, R.",Applied Energy,2019,251,,25,10.1016/j.apenergy.2019.04.121,"The promotion of electricity from renewable energies in Germany causes difficulties in the profitable operation of many modern conventional power plants. Also, fluctuating availability of power from renewable energy sources requires flexible conventional plants, i.e. power plants which are able to react fast to these fluctuations. In this paper, we propose a model which provides some decision support tool for the operators of conventional power plants regarding investments in technical upgrades aimed at enhancing the flexible operation of these power plants. Because of the irreversible character of the investments considered we apply a real options approach to the gas-fired power plant investigated. We compare the electricity price and the spark spread as profitability indicators and sources of uncertainty, and use a simplified 3-stage definition of the power plant's operation strategy. In a case study for a combined cycle gas-fired turbine plant recently built in Germany, we find that the retrofit decisions depend strongly on economic parameters, such as the level of the operation and maintenance costs, as well as the enabled longer operation time on the maximum level. The proposed procedure can help to assess the expected future profitability role of conventional power plants, and supports the decision-making process regarding both reinvestments and optimal operation of power plants in markets with high shares of variable renewables.",Real options; Renewables; Gas-fired power plants; Flexibility; Energy; market; distributed natural-gas; electricity-generation; market prices; investment; turbine; storage; risk; integration; valuation; systems; Energy & Fuels; Engineering
Energy upgrades as financial or strategic investment? Energy Star property owners and managers improving building energy performance,"Gliedt, T.; Hoicka, C. E.",Applied Energy,2015,147,,430-443,10.1016/j.apenergy.2015.02.028,"Due to its significant carbon footprint and cost-effectiveness for upgrades, the commercial property sector is important for climate change mitigation. Although barriers to energy system changes, such as funding, financing and information, are well recognized, Energy Star property owners and managers are successfully overcoming these barriers and instigating energy efficiency upgrades, renewable energy installations, and behavior and management programs. To examine the decision-making process that leads to energy performance improvements, a national survey of property owners and management organizations of buildings that earned an Energy Star score of 75 or higher was conducted. The extent to which energy upgrades were considered strategic investments motivated by environmental sustainability or corporate social responsibility, or financial investments motivated by payback period or return-on-investment criteria, was contingent upon the property type and type of energy project. Environmental sustainability was found to be an important motivation for energy projects in office spaces in general, but in the case of smaller office spaces was often combined with motivations for corporate social responsibility. Energy projects on education properties were motivated by financial investment. Building envelope and mechanical efficiency upgrades were considered financial investments, while renewable energy, green roofs, and water conservation technologies were considered environmental sustainability initiatives. (C) 2015 Elsevier Ltd. All rights reserved.",Energy Star; Energy efficiency and management; Renewable energy; Financing and technology decisions; Strategic investment; Commercial; property; environmental responsibility; efficiency; green; barriers; sustainability; adoption; communities; companies; decision; impact; Energy & Fuels; Engineering
Exploring equality and sustainability trade-offs of energy transition outcomes in the United States in 2050,"Goforth, T.; Nock, D.; Brown, M.; Ghosh, T.; Lamers, P.",Applied Energy,2024,367,,13,10.1016/j.apenergy.2024.123376,"With increasing focus on equitable and just energy transition, it is critical to understand the trade-offs of different decarbonization outcomes across economic, environmental, and social sustainability criteria. In this analysis, we use a multi-criteria decision analysis to quantify sustainability outcomes across 32 decarbonization outcomes in 2050 in the U.S. The economic sustainability criteria we use are system cost, national average retail rate, and electricity system employment. The environmental sustainability criteria we use are life cycle greenhouse gas emissions, life cycle water depletion, life cycle land transformation, and air pollution fatalities. The social sustainability (distributional impacts) criteria we use are retail rate equality across states, electricity employment equality across low-income households, and air pollution disparities across census tracts. We evaluate performance across these criteria under eleven different stakeholder preference scenarios. We find that decarbonization policies with indefinitely extended tax credits have the highest sustainability score under equal criteria weighting, with greater investments in renewable energy technologies, and result in better environmental, system cost, job, and air pollution disparities compared to mid-case scenarios, that only include current policies and CO2 reduction targets. We also see that our multi-criteria decision analysis identifies decarbonization outcomes that would not have been identified as optimal under a single objective, which highlights the importance of trade-off analyses to understand decarbonization outcomes more holistically.",Multi-criteria decision analysis; Distributional impacts; Sustainability; Energy transition; multicriteria decision-analysis; emissions; capture; Energy & Fuels; Engineering
A hybrid simulation approach for integrating safety behavior into construction planning: An earthmoving case study,"Goh, Y. M.; Ali, M. J. A.",Accident Analysis and Prevention,2016,93,,310-318,10.1016/j.aap.2015.09.015,"One of the key challenges in improving construction safety and health is the management of safety behavior. From a system point of view, workers work unsafely due to system level issues such as poor safety culture, excessive production pressure, inadequate allocation of resources and time and lack of training. These systemic issues should be eradicated or minimized during planning. However, there is a lack of detailed planning tools to help managers assess the impact of their upstream decisions on worker safety behavior. Even though simulation had been used in construction planning, the review conducted in this study showed that construction safety management research had not been exploiting the potential of simulation techniques. Thus, a hybrid simulation framework is proposed to facilitate integration of safety management considerations into construction activity simulation. The hybrid framework consists of discrete event simulation (DES) as the core, but heterogeneous, interactive and intelligent (able to make decisions) agents replace traditional entities and resources. In addition, some of the cognitive processes and physiological aspects of agents are captured using system dynamics (SD) approach. The combination of DES, agent-based simulation (ABS) and SD allows a more ""natural"" representation of the complex dynamics in construction activities. The proposed hybrid framework was demonstrated using a hypothetical case study. In addition, due to the lack of application of factorial experiment approach in safety management simulation, the case study demonstrated sensitivity analysis and factorial experiment to guide future research. (C) 2015 Elsevier Ltd. All rights reserved.","Hybrid simulation; Construction safety; Safety behavior; Activity; planning; Simulation methodology; discrete-event simulation; system dynamics; management; industry; operations; accidents; disaster; model; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
Two-stage centralised management of Local Energy Market for prosumers integration in a community-based P2P,"Goitia-Zabaleta, N.; Milo, A.; Gaztañaga, H.; Fernandez, E.",Applied Energy,2023,348,,14,10.1016/j.apenergy.2023.121552,"Centrally managed or community-based P2P Energy Communities are at the forefront of the literature. A collectively shared energy configuration maximises the energy use of local generators. An interesting scenario is energy sharing when residential buildings conform to an Energy Community with tertiary buildings as prosumers. This article introduces a two-stage centralised management of the Local Energy Market for prosumers integration. In the first stage, energy planning is carried out. In this phase, the Local Energy Market Operator optimises the energy dispatch based on energy prosumers' predictions (previously performed by each participant using Boosting Decision Tree technique) and Mixed Integer Linear Programming. In the second stage, real time management is performed, where energy storage systems (individual Batteries and Central Energy Storage System) are employed to address the energy deviations. To address the viability of the proposed management, in the first place, the community-based P2P is compared to other Low Voltage configurations (Collective Self-Consumption and Full P2P) for one-stage management, where the community-based P2P approach obtains the best results in technical, economic, and environmental aspects. Subsequently, the two-stage management is examined with local Batteries and combining local Batteries with a Central Energy Storage System. The results show that the proposal, integrating local and central storage, significantly improves a local energy community's techno-economic and environmental indicators regarding other energy management market configurations.",Peer-to-peer energy trading; Local Energy Market; Two-stage energy; management; Mixed-Integer Linear Programming; Local battery; Community; energy storage system; peer-to-peer; coordination; prediction; Energy & Fuels; Engineering
Local knowledge in rail signalling and balancing trade-offs,"Golightly, D.; Young, M. S.",Applied Ergonomics,2022,102,,,10.1016/j.apergo.2022.103714,"The control of rail signalling is known to be highly dependent on local knowledge and local factors. It is also known to be highly cognitive in its nature involving a constant balancing of system performance within the constraints of safety. In the current paper, data generated through field work with signallers were used to understand the role of local knowledge, set against the background of an existing Local Knowledge Framework (Pickup et al., 2013) that was proposed to help determine the contents and mechanisms behind local knowledge in rail signalling. The field work included interviews with signallers and operations managers along with observations of signaller work. The results showed that the local knowledge framework needs to be expanded to include aspects related to the general public at user worked crossings and level crossings. In addition, the analysis highlights some of the issues with the transmission of local knowledge. The paper then discusses some of the gaps in the current framework, highlighting the importance not only of local knowledge for specific functions of signalling, but how these interact to support trade-offs to balance performance with safety. The implications for the design of signaller work are discussed. © 2022",Local knowledge; Rail control; Signalling; Humans; Knowledge; Railroads; Commerce; Rails; 'current; Field works; Knowledge frameworks; Knowledge set; Operations managers; Rail signalling; Systems performance; Trade off; article; field work; human; human experiment; interview; manager; signal transduction; railway; Economic and social effects
